example_id                                                   | status  | run_time        |
./spec/controllers/trigger_group_controller_spec.rb[1:6:2]   | pending | 0 seconds       |
./spec/models/streaming_api_spec.rb[1:1]                     | passed  | 4.26 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:1]                 | passed  | 2.21 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:2:1]               | passed  | 2.69 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:2:2]               | passed  | 2.34 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:3:1]               | passed  | 2.53 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:3:2]               | passed  | 2.6 seconds     |
./spec/models/streaming_api_spec.rb[1:2:1:4:1]               | passed  | 2.6 seconds     |
./spec/models/streaming_api_spec.rb[1:2:1:4:2]               | passed  | 2.61 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:5:1]               | passed  | 3.62 seconds    |
./spec/models/streaming_api_spec.rb[1:2:1:5:2]               | passed  | 4.61 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:1]                 | passed  | 2.27 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:2:1]               | passed  | 5.43 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:2:2]               | passed  | 2.34 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:3:1]               | passed  | 2.51 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:3:2]               | passed  | 2.81 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:4:1]               | passed  | 2.6 seconds     |
./spec/models/streaming_api_spec.rb[1:2:2:4:2]               | passed  | 2.61 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:5:1]               | passed  | 3.61 seconds    |
./spec/models/streaming_api_spec.rb[1:2:2:5:2]               | passed  | 4.62 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:1]                 | passed  | 2.19 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:2:1]               | passed  | 2.68 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:2:2]               | passed  | 2.29 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:3:1]               | passed  | 2.52 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:3:2]               | passed  | 2.59 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:4:1]               | passed  | 2.61 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:4:2]               | passed  | 2.59 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:5:1]               | passed  | 3.59 seconds    |
./spec/models/streaming_api_spec.rb[1:2:3:5:2]               | passed  | 4.6 seconds     |
